log_name,tag,hidden_size,hidden_layers,epochs,batch_size,train_loss,train_acc,val_loss,val_acc
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,7,32,0.6187289980782403,0.7752380967140198,0.7417434898103986,0.7548094987869263
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,8,32,0.6179535323267892,0.7756825685501099,0.6596720019976298,0.7660475969314575
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,9,32,0.6046367432503473,0.7821269631385803,0.6699123920372554,0.7848095297813416
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,10,32,0.6005350791802482,0.7843492031097412,0.7207980604966482,0.7494285702705383
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,11,32,0.600346344240128,0.7862539887428284,0.6449091206505185,0.7839999794960022
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,12,32,0.5978272487095424,0.7875555753707886,0.6984026808511643,0.7680476307868958
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,13,32,0.582884397616462,0.792888879776001,0.6673276449839274,0.784761905670166
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,14,32,0.577730305350016,0.793587327003479,0.7060108288356236,0.7720000147819519
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,15,32,0.5824252227677239,0.7921270132064819,0.7040413785775502,0.7753333449363708
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,16,32,0.5697396105660333,0.7962539792060852,0.6773008141290574,0.7710475921630859
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,17,32,0.5804002834198967,0.7930158972740173,0.7682716743946075,0.7695714235305786
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,18,32,0.5789516213280814,0.7970158457756042,0.698399675936926,0.7764285802841187
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,19,32,0.5517878516136654,0.8025714159011841,0.7005522628057571,0.7834761738777161
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,20,32,0.5604875127550155,0.7974920868873596,0.6729386690457662,0.7923809289932251
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,1,32,1.0238936935303704,0.6335873007774353,0.7594509553001041,0.7216190695762634
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,2,32,0.7342648977779207,0.7262539863586426,0.7080699609574818,0.7375714182853699
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,3,32,0.6769731072546944,0.7512698173522949,0.6513705095677149,0.7617619037628174
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,4,32,0.6337781542936961,0.7687936425209045,0.7411718977065314,0.7217142581939697
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,5,32,0.6054642005534399,0.7786349058151245,0.6428155911082313,0.7668095231056213
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,6,32,0.5866240116755168,0.7832063436508179,0.6172217388153076,0.767714262008667
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,7,32,0.5703834087143814,0.7905079126358032,0.6427152011053903,0.7690476179122925
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,8,32,0.559641578015827,0.7926983833312988,0.6096617190724327,0.784333348274231
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,9,32,0.546276929211995,0.8008571267127991,0.596937192780631,0.78980952501297
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,10,32,0.5380414779148405,0.8020317554473877,0.5728934782119024,0.7997142672538757
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,11,32,0.5320075021092854,0.8058730363845825,0.5585400270734514,0.8026666641235352
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,12,32,0.5244491903365605,0.8072381019592285,0.5821225320725214,0.79195237159729
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,13,32,0.5211574097360884,0.8096190690994263,0.5838869905698867,0.7929999828338623
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,14,32,0.5097147108335344,0.8120952248573303,0.5695430105073112,0.8004761934280396
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,15,32,0.5113748896046291,0.8121269941329956,0.5577654523849487,0.8080000281333923
"2024-05-13_13:45:03_bs=32,e=20,hl=2,hs=32",depth_and_size_experimentation,32,2,16,32,0.5057333975065322,0.8143174648284912,0.589175877105622,0.7989524006843567
